Year,Category,Title,Winners
1979,Best Rock Instrumental Performance,Rockestra Theme,"Paul McCartney And Wings (Denny Laine, Linda McCartney,Paul McCartney), artist."
1979,"Best R&B Vocal Performance, Female",Deja Vu,"Dionne Warwick, artist."
1979,"Best R&B Vocal Performance, Male",Don't Stop 'til You Get Enough,"Michael Jackson, artist."
1979,"Best R&B Vocal Performance By A Duo, Group Or Chorus",After The Love Has Gone,"Earth, Wind & Fire (Philip Bailey, Larry Dunn, Johnny Graham, Ralph Johnson, Al McKay, Fred White, Maurice White, Verdine White, Andrew Woolfolk), artist."
1979,Best R&B Instrumental Performance,Boogie Wonderland,"Earth, Wind & Fire (Philip Bailey, Larry Dunn, Johnny Graham, Ralph Johnson, Al McKay, Fred White, Maurice White, Verdine White, Andrew Woolfolk), artist."
1979,Best Rhythm & Blues Song,After The Love Has Gone,"Bill Champlin, David Foster & Jay Graydon, songwriters."
1979,Best Disco Recording,I Will Survive,"Gloria Gaynor, artist. Dino Fekaris & Freddie Perren, producers."
1979,"Best Country Vocal Performance, Female",Blue Kentucky Girl,"Emmylou Harris, artist."
1979,"Best Country Vocal Performance, Male",The Gambler,"Kenny Rogers, artist."
1979,Best Country Vocal Performance By A Duo Or Group,The Devil Went Down To Georgia,"Charlie Daniels Band (Tom Crain, Charlie Daniels, Taz Di Gregorio, Fred Edwards, Charles Hayward, James W. Marshall), artist."
1979,Best Country Instrumental Performance,Big Sandy/Leather Britches,"Doc Watson & Merle Watson, artists."
1979,Best Country Song,You Decorated My Life,"Bob Morrison & Debbie Hupp, songwriters."
1979,"Best Gospel Performance, Contemporary Or Inspirational",Heed The Call,"Imperials (Armond Morales, Jim Murray, Paul Smith, Dave Will), artist."
1979,"Best Gospel Performance, Traditional",Lift Up The Name Of Jesus,"Blackwood Brothers (Cecil Blackwood, James Blackwood Jr., James Blackwood Sr., Tommy Fairchild, Pat Hoffmaster, Ken Turner), artist."
1979,"Best Soul Gospel Performance, Contemporary",I'll Be Thinking Of You,"Andrae Crouch, artist."
1979,"Best Soul Gospel Performance, Traditional",Changing Times,"Mighty Clouds Of Joy (Elmo Franklin, Joe Ligon, Johnny Martin, Richard Wallace), artist."
1979,Best Inspirational Performance,You Gave Me Love (When Nobody Gave Me A Prayer),"B.J. Thomas, artist."
1979,Best Ethnic Or Traditional Recording,"Muddy ""Mississippi"" Waters Live","Muddy Waters, artist."
1979,Best Latin Recording,Irakere,"Irakere (Jorge ""El Nino"" Alfonso, Carlos Averhoff, Almando Cuerco, Carlos Del Puerto, Paquito D'Rivera, Carlos Emilio Morales, Enrique Pla, Arturo Sandoval, Chucho Valdes, Oscar Valdes, Jorge Veruna), artist."
1979,Best Recording For Children,The Muppet Movie,"Jim Henson & Paul Williams, producers."
1979,Best Comedy Recording,Reality...What A Concept,"Robin Williams, artist."
1979,"Best Spoken Word, Documentary Or Drama Recording",Ages Of Man - Readings From Shakespeare,"John Gielgud, narrator."
1979,Best Instrumental Composition,Superman Main Title Theme,"John Williams, composer."
1979,Best Album Of Original Score Written For A Motion Picture Or A Television Special,Superman,"John Williams, composer."
1979,Best Cast Show Album,Sweeney Todd,"Stephen Sondheim, composer. Stephen Sondheim, lyricist. Thomas Z. Shepard, producer."
1979,"Best Jazz Fusion Performance, Vocal Or Instrumental",8:30,"Weather Report (Peter Erskine, Jaco Pastorius, Wayne Shorter, Josef Zawinul), artist."
1979,Best Jazz Vocal Performance,Fine And Mellow,"Ella Fitzgerald, artist."
1979,"Best Jazz Instrumental Performance, Soloist",Jousts,"Oscar Peterson, soloist."
1979,"Best Jazz Instrumental Performance, Group",Duet,"Chick Corea & Gary Burton, artists."
1979,"Best Jazz Instrumental Performance, Big Band","Duke Ellington At Fargo, 1940 Live","Duke Ellington, artist."
1979,Best Instrumental Arrangement,Soulful Strut,"Claus Ogerman, arranger."
1979,Best Arrangement Accompanying Vocals,What A Fool Believes,"Michael McDonald, arranger."
1979,Best Album Package,Breakfast In America,"Mick Haggerty & Mike Doud, art directors."
1979,Best Album Notes,Charlie Parker - The Complete Savoy Sessions,"Bob Porter & James Patrick, album notes writers."
1979,Best Historical Reissue,Billie Holiday - Giants Of Jazz,"Jerry Korn & Michael Brooks, producers."
1979,Best Engineered Recording - Non-Classical,Breakfast In America,"Peter Henderson, engineer."
1979,Producer Of The Year,,"Larry Butler, producer."
1979,Best Classical Album,Brahms: Symphonies (1-4),"Georg Solti, artist. James Mallinson, producer."
1979,Best Classical Orchestral Recording,Brahms: Symphonies (1-4),"Georg Solti, conductor. James Mallinson, producer."
1979,Best Opera Recording,Britten: Peter Grimes,"Colin Davis, conductor. Vittorio Negri, producer."
1979,"Best Choral Performance, Classical (Other Than Opera)",Brahms: A German Requiem,"Margaret Hillis, choir director.Georg Solti, conductor."
1979,Best Chamber Music Performance,Copland: Appalachian Spring,"Dennis Russell Davies, artist."
1979,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Bartók: Piano Cons. Nos. 1 & 2,"Maurizio Pollini, artist."
1979,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),The Horowitz Concerts 1978/79,"Vladimir Horowitz, artist."
1979,Best Classical Vocal Soloist Performance,O Sole Mio - Favorite Neapolitan Songs,"Luciano Pavarotti, artist."
1979,"Best Engineered Recording, Classical",Sweeney Todd,"Anthony Salvatore, engineer."
1979,Classical Producer Of The Year,,"James Mallinson, producer."
1978,Record Of The Year,Just The Way You Are,"Billy Joel, artist. Phil Ramone, producer."
1978,Album Of The Year,Saturday Night Fever - Soundtrack,"* Bee Gees (Barry Gibb*, Maurice Gibb*, Robin Gibb*), David Shire*, K.C. And The Sunshine Band (Harry Wayne Casey*, Richard Finch*, Fermin Goypisolo, Robert Johnson, Jerome Smith), Kool And The Gang (Robert ""Kool"" Bell, Ronald Bell, George Brown, Larry Gittens, Robert Mickens, Otha Nash, Claydes Smith, Dennis Thomas, Rickey West), MFSB (Don Renaldo), Ralph MacDonald*, Tavares (Butch Tavares, Chubby Tavares, Pooch Tavares, Ralph Tavares, Tiny Tavares), The Trammps (Jimmy Ellis, Robert Upchurch, Harold Wade, Stanley Wade, Earl Young), Walter Murphy & Yvonne Elliman, artists. Albhy Galuten, Arif Mardin, Bee Gees* (Barry Gibb*, Maurice Gibb*, Robin Gibb*), Bill Oakes, Bobby Martin, Broadway Eddie, David Shire*, Freddie Perren, Harry Wayne Casey*, K.G. Productions, Karl Richardson, Ralph MacDonald*, Richard Finch*, Ron Kersey, Thomas J. Valentino & William Salter, producers."
1978,Song Of The Year,Just The Way You Are,"Billy Joel, songwriter."
1978,Best New Artist,,"Taste Of Honey (Donald R. Johnson, Janice M. Johnson, Perry Kibble, Hazel Payne), artist."
1978,"Best Pop Vocal Performance, Female",You Needed Me,"Anne Murray, artist."
1978,"Best Pop Vocal Performance, Male",Copacabana (At The Copa),"Barry Manilow, artist."
1978,Best Pop Vocal Performance By A Duo Or Group,Saturday Night Fever,"Bee Gees (Barry Gibb, Maurice Gibb, Robin Gibb), artist."
1978,Best Pop Instrumental Performance,Children Of Sanchez,"Chuck Mangione, artist."
1978,"Best R&B Vocal Performance, Female",Last Dance,"Donna Summer, artist."
1978,"Best R&B Vocal Performance, Male",On Broadway,"George Benson, artist."
1978,"Best R&B Vocal Performance By A Duo, Group Or Chorus",All 'n All,"Earth, Wind & Fire (Philip Bailey, Larry Dunn, Johnny Graham, Ralph Johnson, Al McKay, Fred White, Maurice White, Verdine White, Andrew Woolfolk), artist."
1978,Best R&B Instrumental Performance,Runnin',"Earth, Wind & Fire (Philip Bailey, Larry Dunn, Johnny Graham, Ralph Johnson, Al McKay, Fred White, Maurice White, Verdine White, Andrew Woolfolk), artist."
1978,Best Rhythm & Blues Song,Last Dance,"Paul Jabara, songwriter."
1978,"Best Country Vocal Performance, Female",Here You Come Again,"Dolly Parton, artist."
1978,"Best Country Vocal Performance, Male",Georgia On My Mind,"Willie Nelson, artist."
1978,Best Country Vocal Performance By A Duo Or Group,Mamas Don't Let Your Babies Grow Up To Be Cowboys,"Waylon Jennings & Willie Nelson, artists."
1978,Best Country Instrumental Performance,One O'Clock Jump,"Asleep At The Wheel (Ray Benson, Link Davis, Floyd Domino, Tony Garnier, Daniel Levin, Bill Mabry, Lucky Oceans, Chris O'Connell, Leroy Preston, Pat Ryan, Andy Stein, Chris York), artist."
1978,Best Country Song,The Gambler,"Don Schlitz, songwriter."
1978,"Best Gospel Performance, Contemporary Or Inspirational",What A Friend,"Larry Hart, artist."
1978,"Best Gospel Performance, Traditional",Refreshing,"Happy Goodman Family (Howard Goodman, Rusty Goodman, Sam Goodman, Vestal Goodman), artist."
1978,"Best Soul Gospel Performance, Contemporary",Live In London,"Andrae Crouch, artist."
1978,"Best Soul Gospel Performance, Traditional",Live And Direct,"Mighty Clouds Of Joy (Elmo Franklin, Joe Ligon, Johnny Martin, Richard Wallace), artist."
1978,Best Inspirational Performance,Happy Man,"B.J. Thomas, artist."
1978,Best Ethnic Or Traditional Recording,I'm Ready,"Muddy Waters, artist."
1978,Best Latin Recording,Homenaje a Beny More,"Tito Puente, artist."
1978,Best Recording For Children,The Muppet Show,"Jim Henson, producer."
1978,Best Comedy Recording,A Wild And Crazy Guy,"Steve Martin, artist."
1978,Best Spoken Word Recording,Citizen Kane,"Orson Welles, narrator."
1978,Best Instrumental Composition,Theme From Close Encounters Of The Third Kind,"John Williams, composer."
1978,Best Album Of Original Score Written For A Motion Picture Or A Television Special,Close Encounters Of The Third Kind,"John Williams, composer."
1978,Best Cast Show Album,Ain't Misbehavin',"Thomas Z. Shepard, producer."
1978,Best Jazz Vocal Performance,All Fly Home,"Al Jarreau, artist."
1978,"Best Jazz Instrumental Performance, Soloist",Montreaux '77 - Oscar Peterson Jam,"Oscar Peterson, soloist."
1978,"Best Jazz Instrumental Performance, Group",Friends,"Chick Corea, artist."
1978,"Best Jazz Instrumental Performance, Big Band",Live In Munich,"Mel Lewis & Thad Jones, artists."
1978,Best Instrumental Arrangement,The Wiz Main Title - Overture Part One,"Quincy Jones & Robert (Bob) Freedman, arrangers."
1978,Best Arrangement Accompanying Vocal(s),Got To Get You Into My Life,"Maurice White, arranger."
1978,Best Arrangement For Voices,Stayin' Alive,"Barry Gibb, Maurice Gibb & Robin Gibb, arrangers."
1978,Best Album Package,Boys In The Trees,"Johnny B. Lee & Tony Lane, art directors."
1978,Best Album Notes,"A Bing Crosby Collection, Vols. I & II","Michael Brooks, album notes writer."
1978,Best Historical Repackage Album,"The Lester Young Story, Vol. 3","Michael Brooks, producer."
1978,Best Engineered Recording - Non-Classical,FM (No Static At All),"Al Schmitt & Roger Nichols, engineers."
1978,Producer Of The Year,,"Albhy Galuten, Bee Gees (Barry Gibb, Maurice Gibb, Robin Gibb) & Karl Richardson, producers."
1978,Best Classical Album,Brahms: Concerto For Violin In D,"Carlo Maria Giulini & Itzhak Perlman, artists. Christopher Bishop, producer."
1978,Best Classical Orchestral Performance,Beethoven: Symphonies (9) (Complete),"Herbert von Karajan, conductor. Michel Glotz, producer."
1978,Best Opera Recording,Lehar: The Merry Widow,"Julius Rudel, conductor. George Sponhaltz & John Coveney, producers."
1978,"Best Choral Performance, Classical (Other Than Opera)",Beethoven: Missa Solemnis,"Margaret Hillis, choir director.Georg Solti, conductor."
1978,Best Chamber Music Performance,Beethoven: Sonatas For Violin And Piano,"Itzhak Perlman & Vladimir Ashkenazy, artists."
1978,"Best Classical Performance, Instrumental Soloist(s) (With Orchestra)",Rachmaninoff: Con. No. 3 In D Minor For Piano (Horowitz Golden Jubilee),"Vladimir Horowitz, artist."
1978,"Best Classical Performance, Instrumental Soloist(s) (Without Orchestra)",The Horowitz Concerts 1977/78,"Vladimir Horowitz, artist."
1978,Best Classical Vocal Soloist Performance,Luciano Pavarotti - Hits From Lincoln Center,"Luciano Pavarotti, artist."
1978,"Best Engineered Recording, Classical",Varese: Ameriques/Arcana/Ionisation (Boulez Conducts Varese),"Arthur Kendy, Edward (Bud) T. Graham & Ray Moore, engineers."
1977,Record Of The Year,Hotel California,"Eagles (Don Felder, Glenn Frey, Don Henley, Randy Meisner, Joe Walsh), artist. Bill Szymczyk, producer."
1977,Album Of The Year,Rumours,"Fleetwood Mac* (Lindsey Buckingham*, Mick Fleetwood*, Christine McVie*, John McVie*, Stevie Nicks*), artist. Fleetwood Mac* (Lindsey Buckingham*, Mick Fleetwood*, Christine McVie*, John McVie*, Stevie Nicks*), Ken Caillat & Richard Dashut, producers."
1977,Song Of The Year,You Light Up My Life (TIE),"Joe Brooks, songwriter."
1977,Song Of The Year,Love Theme From A Star Is Born (Evergreen) (TIE),"Barbra Streisand, Paul Williams, songwriters."
1977,Best New Artist Of The Year,,"Debby Boone, artist."
1977,Best Instrumental Arrangement,Nadia's Theme (The Young And The Restless),"Barry De Vorzon, Harry Betts & Perry Botkin Jr., arrangers."
1977,Best Arrangement Accompanying Vocalist(s),Love Theme From A Star Is Born (Evergreen),"Ian Freebairn-Smith, arranger."
1977,Best Arrangement For Voices,New Kid In Town,"Eagles (Don Felder, Glenn Frey, Don Henley, Randy Meisner, Joe Walsh), arranger."
1977,Best Engineered Recording - Non-Classical,Aja,"Al Schmitt, Bill Schnee, Elliot Scheiner & Roger Nichols, engineers."
1977,Best Album Package,Simple Dreams,"John Kosh, art director."
1977,Best Album Notes,Bing Crosby - A Legendary Performer,"George T. Simon, album notes writer."
1977,Producer Of The Year,,"Peter Asher, producer."
1977,Best Jazz Vocal Performance,Look To The Rainbow,"Al Jarreau, artist."
1977,Best Jazz Performance By A Soloist,The Giants,"Oscar Peterson, soloist."
1977,Best Jazz Performance By A Group,The Phil Woods Six - Live From The Showboat,"Phil Woods, artist."
1977,Best Jazz Performance By A Big Band,Prime Time,"Count Basie, artist."
1977,"Best Pop Vocal Performance, Female",Love Theme From A Star Is Born (Evergreen),"Barbra Streisand, artist."
1977,"Best Pop Vocal Performance, Male",Handy Man,"James Taylor, artist."
1977,Best Pop Vocal Performance By A Group,How Deep Is Your Love,"Bee Gees (Barry Gibb, Maurice Gibb, Robin Gibb), artist."
1977,Best Pop Instrumental Recording,Star Wars,"John Williams, artist."
1977,"Best R&B Vocal Performance, Female",Don't Leave Me This Way,"Thelma Houston, artist."
1977,"Best R&B Vocal Performance, Male",Unmistakably Lou,"Lou Rawls, artist."
1977,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Best Of My Love,"Emotions (Jeanette Hutchinson, Shelia Hutchinson, Wanda Hutchinson), artist."
1977,Best R&B Instrumental Performance,Q,"Brothers Johnson (George Johnson, Louis Johnson), artist."
1977,Best Rhythm & Blues Song,You Make Me Feel Like Dancing,"Leo Sayer & Vini Poncia, songwriters."
1977,"Best Gospel Performance, Contemporary Or Insprirational",Sail On,"Imperials (Armond Morales, Jim Murray, Paul Smith, Dave Will), artist."
1977,"Best Gospel Performance, Traditional",Just A Little Talk With Jesus,"Oak Ridge Boys, artist."
1977,"Best Soul Gospel Performance, Contemporary",Wonderful!,"Edwin Hawkins, artist."
1977,"Best Soul Gospel Performance, Traditional",James Cleveland Live At Carnegie Hall,"James Cleveland, artist."
1977,Best Inspirational Performance,Home Where I Belong,"B.J. Thomas, artist."
1977,"Best Country Vocal Performance, Female",Don't It Make My Brown Eyes Blue,"Crystal Gayle, artist."
1977,"Best Country Vocal Performance, Male",Lucille,"Kenny Rogers, artist."
1977,Best Country Vocal Performance By A Duo Or Group,Heaven's Just A Sin Away,"Kendalls (Jeannie Kendall, Royce Kendall), artist."
1977,Best Country Instrumental Performance,Country Instrumentalist Of The Year,"Hargus ""Pig"" Robbins, artist."
1977,Best Country Song,Don't It Make My Brown Eyes Blue,"Richard Leigh, songwriter."
1977,Best Ethnic Or Traditional Recording,Hard Again,"Muddy Waters, artist."
1977,Best Latin Recording,Dawn,"Mongo Santamaria, artist."
1977,Best Recording For Children,Aren't You Glad You're You,"Christopher Cerf & Jim Timmens, producers."
1977,Best Comedy Recording,Let's Get Small,"Steve Martin, artist."
1977,Best Spoken Word Recording,The Belle Of Amherst,"Julie Harris, narrator."
1977,Best Instrumental Composition,Star Wars - Main Title,"John Williams, composer."
1977,Best Original Score Written For A Motion Picture Or A Television Special,Star Wars,"John Williams, composer."
1977,Best Cast Show Album,Annie,"Charles Strouse & Martin Charnin, composers. Charles Strouse & Larry Morton, producers."
1977,Best Classical Album,Concert Of The Century,"Dietrich Fischer-Dieskau, Isaac Stern, Leonard Bernstein, Lyndon Woodside, Mstislav Rostropovich, Vladimir Horowitz & Yehudi Menuhin, artists. Thomas Frost, producer."
1977,Best Classical Orchestral Performance,Mahler: Symphony No. 9 In D,"Carlo Maria Giulini, artist. Gunther Breest, producer."
1977,Best Opera Recording,Gershwin: Porgy And Bess,"John De Main, artist. Thomas Z. Shepard, producer."
1977,Best Choral Performance (Other Than Opera),Verdi: Requiem,"Georg Solti, artist. Margaret Hillis, choir director."
1977,Best Chamber Music Performance,Schoenberg: Quartets For Strings (Complete),"Juilliard String Quartet (Claus Adam, Earl Carlyss, Robert Mann, Samuel Rhodes), artist."
1977,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),Vivaldi: The Four Seasons,"Itzhak Perlman, artist."
1977,Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra),"Beethoven: Piano Sonata No. 18 In E Flat/Schumann: Fantasiestucke, Op. 12","Artur Rubinstein, artist."
1977,Best Classical Vocal Soloist Performance,Bach: Arias,"Janet Baker, artist."
1977,"Best Engineered Recording, Classical",Ravel: Bolero,"Kenneth Wilkinson, engineer."
1976,Record Of The Year,This Masquerade,"George Benson, artist. Tommy LiPuma, producer."
1976,Album Of The Year,Songs In The Key Of Life,"Stevie Wonder*, artist. Stevie Wonder*, producer."
1976,Song Of The Year,I Write The Songs,"Bruce Johnston, songwriter."
1976,Best New Artist Of The Year,,"Starland Vocal Band, artist."
1976,Best Instrumental Arrangement,Leprechaun's Dream,"Chick Corea, arranger."
1976,Best Arrangement Accompanying Vocalist(s),If You Leave Me Now,"James William Guercio & Jimmie Haskell, arrangers."
1976,"Best Arrangement For Voices (Duo, Group Or Chorus)",Afternoon Delight,"Starland Vocal Band, arranger."
1976,Best Engineered Recording - Non-Classical,Breezin',"Al Schmitt, engineer."
1976,Best Album Package,Chicago X,"John Berg, art director."
1976,Best Album Notes,The Changing Face Of Harlem - The Savoy Sessions,"Dan Morgenstern, album notes writer."
1976,Best Producer Of The Year,,"Stevie Wonder, producer."
1976,Best Jazz Vocal Performance,Fitzgerald And Pass...Again,"Ella Fitzgerald, artist."
1976,Best Jazz Performance By A Soloist (Instrumental),Basie And Zoot,"Count Basie, soloist."
1976,Best Jazz Performance By A Group,The Leprechaun,"Chick Corea, artist."
1976,Best Jazz Performance By A Big Band,The Ellington Suites,"Duke Ellington, artist."
1976,"Best Pop Vocal Performance, Female",Hasten Down The Wind,"Linda Ronstadt, artist."
1976,"Best Pop Vocal Performance, Male",Songs In The Key Of Life,"Stevie Wonder, artist."
1976,"Best Pop Vocal Performance By A Duo, Group Or Chorus",If You Leave Me Now,"Chicago (Peter Cetera, Bill Champlin, Robert Lamm, Lee Loghnane, James Pankow, Walter Parazaider, Danny Seraphine), artist."
1976,Best Pop Instrumental Performance,Breezin',"George Benson, artist."
1976,"Best R&B Vocal Performance, Female",Sophisticated Lady (She's A Different Lady),"Natalie Cole, artist."
1976,"Best R&B Vocal Performance, Male",I Wish,"Stevie Wonder, artist."
1976,"Best R&B Vocal Performance By A Duo, Group Or Chorus",You Don't Have To Be A Star (To Be In My Show),"Billy Davis Jr. & Marilyn McCoo, artists."
1976,Best R&B Instrumental Performance,Theme From Good King Bad,"George Benson, artist."
1976,Best Rhythm & Blues Song,Lowdown,"Boz Scaggs & David Paich, songwriters."
1976,Best Soul Gospel Performance,How I Got Over,"Mahalia Jackson, artist."
1976,"Best Country Vocal Performance, Female",Elite Hotel,"Emmylou Harris, artist."
1976,"Best Country Vocal Performance, Male",(I'm A) Stand By My Woman Man,"Ronnie Milsap, artist."
1976,Best Country Vocal Performance By A Duo Or Group,The End Is Not In Sight (The Cowboy Tune),"Amazing Rhythm Aces (Barry Burton, Jeff Davis, Billy Earheart, James Hooker, Butch McDade, Russell Smith), artist."
1976,Best Country Instrumental Performance,Chester And Lester,"Chet Atkins & Les Paul, artists."
1976,Best Country Song,Broken Lady,"Larry Gatlin, songwriter."
1976,Best Inspirational Performance,"The Astonishing, Outrageous, Amazing, Incredible, Unbelievable, Different World of Gary S. Paxton","Gary S. Paxton, artist."
1976,Best Gospel Performance (Other Than Soul Gospel),Where The Soul Never Dies,"Oak Ridge Boys, artist."
1976,Best Ethnic Or Traditional Recording,Mark Twang,"John Hartford, artist."
1976,Best Latin Recording,Unfinished Masterpiece,"Eddie Palmieri, artist."
1976,Best Recording For Children,Prokofiev: Peter And The Wolf/Saint-Saens: Carnival Of The Animals,"Hermione Gingold & Karl Bohm, artists."
1976,Best Comedy Recording,Bicentennial Nigger,"Richard Pryor, artist."
1976,Best Spoken Word Recording,Great American Documents,"Helen Hayes, Henry Fonda, James Earl Jones & Orson Welles, narrators."
1976,Best Instrumental Composition,Bellavia,"Chuck Mangione, composer."
1976,Album Of Best Original Score Written For A Motion Picture Or Television Special,Car Wash,"Norman Whitfield, composer."
1976,Best Cast Show Album,Bubbling Brown Sugar,"Hugo Peretti & Luigi Creatore, producers."
1976,Classical Album Of The Year,Beethoven: The Five Piano Concertos,"Artur Rubinstein, artist. Daniel Barenboim, conductor. Max Wilcox, producer."
1976,Best Classical Orchestral Performance,Strauss: Also Sprach Zarathustra,"Georg Solti, artist. Raymond Minshull, producer."
1976,Best Opera Recording,Gershwin: Porgy And Bess,"Lorin Maazel, artist. Michael Woolcock, producer."
1976,Best Choral Performance (Other Than Opera),Rachmaninoff: The Bells,"André Previn, artist. Arthur Oldham, choir director."
1976,Best Chamber Music Performance,The Art Of Courtly Love,"David Munrow, artist."
1976,"Best Classical Performance, Instrumental Soloist Or Soloists (With Orchestra)",Beethoven: The Five Piano Concertos,"Artur Rubinstein, artist."
1976,"Best Classical Performance, Instrumental Soloist Or Soloists (Without Orchestra)",Horowitz Concerts 1975/76,"Vladimir Horowitz, artist."
1976,Best Classical Vocal Soloist Performance,Herbert: Music Of Victor Herbert,"Beverly Sills, artist."
1976,"Best Engineered Recording, Classical",Gershwin: Rhapsody In Blue,"Edward (Bud) T. Graham, Milton Cherin & Ray Moore, engineers."
1975,Record Of The Year,Love Will Keep Us Together,"Captain & Tennille (Daryl Dragon*, Toni Tennille), artist. Daryl Dragon*, producer."
1975,Album Of The Year,Still Crazy After All These Years,"Paul Simon*, artist. Paul Simon* & Phil Ramone, producers."
1975,Song Of The Year,Send In The Clowns,"Stephen Sondheim, songwriter."
1975,Best New Artist Of The Year,,"Natalie Cole, artist."
1975,Best Instrumental Arrangement,The Rockford Files,"Mike Post & Pete Clarence Carpenter, arrangers."
1975,Best Arrangement Accompanying Vocalist(s),Misty,"Ray Stevens, arranger."
1975,Best Engineered Recording - Non-Classical,Between The Lines,"Brooks Arthur, Larry Alexander & Russ Payne, engineers."
1975,Best Album Package,Honey,"Jim Ladwig, art director."
1975,Best Producer Of The Year,,"Arif Mardin, producer."
1975,Best Jazz Performance By A Soloist,Oscar Peterson And Dizzy Gillespie,"Dizzy Gillespie, soloist."
1975,Best Jazz Performance By A Group,No Mystery,"Chick Corea And Return To Forever (Stanley Clarke, Chick Corea, Al DiMeola, Lenny White), artist."
1975,Best Jazz Performance By A Big Band,Images,"Michel Legrand & Phil Woods, artists."
1975,"Best Pop Vocal Performance, Female",At Seventeen,"Janis Ian, artist."
1975,"Best Pop Vocal Performance, Male",Still Crazy After All These Years,"Paul Simon, artist."
1975,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Lyin' Eyes,"Eagles (Don Felder, Glenn Frey, Don Henley, Bernie Leadon, Randy Meisner), artist."
1975,Best Pop Instrumental Performance,The Hustle,"Van McCoy, artist."
1975,"Best R&B Vocal Performance, Female",This Will Be,"Natalie Cole, artist."
1975,"Best R&B Vocal Performance, Male",Living For The City,"Ray Charles, artist."
1975,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Shining Star,"Earth, Wind & Fire (Philip Bailey, Larry Dunn, Johnny Graham, Ralph Johnson, Al McKay, Fred White, Maurice White, Verdine White, Andrew Woolfolk), artist."
1975,Best R&B Instrumental Performance,"Fly, Robin, Fly","Silver Convention, artist."
1975,Best Rhythm & Blues Song,Where Is The Love,"Betty Wright, Harry Wayne Casey, Richard Finch & Willie Clarke, songwriters."
1975,Best Soul Gospel Performance,Take Me Back,"Andrae Crouch, artist."
1975,"Best Country Vocal Performance, Female",I Can't Help It (If I'm Still In Love With You),"Linda Ronstadt, artist."
1975,"Best Country Vocal Performance, Male",Blue Eyes Crying In The Rain,"Willie Nelson, artist."
1975,Best Country Vocal Performance By A Duo Or Group,Lover Please,"Kris Kristofferson & Rita Coolidge, artists."
1975,Best Country Instrumental Performance,The Entertainer,"Chet Atkins, artist."
1975,Best Country Song,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,"Chips Moman & Larry Butler, songwriters."
1975,Best Inspirational Performance,"Jesus, We Just Want To Thank You","Bill Gaither Trio (Bill Gaither), artist."
1975,Best Gospel Performance (Other Than Soul Gospel),No Shortage,"Imperials (Armond Morales, Jim Murray, Paul Smith, Dave Will), artist."
1975,Best Ethnic Or Traditional Recording,The Muddy Waters Woodstock Album,"Muddy Waters, artist."
1975,Best Latin Recording,Sun Of Latin Music,"Eddie Palmieri, artist."
1975,Best Recording For Children,The Little Prince,"Richard Burton, artist."
1975,Best Comedy Recording,Is It Something I Said?,"Richard Pryor, artist."
1975,Best Spoken Word Recording,Give 'Em Hell Harry,"James Whitmore, narrator."
1975,Best Instrumental Composition,Images,"Michel Legrand, composer."
1975,Album Of Best Original Score Written For A Motion Picture Or A Television Special,Jaws,"John Williams, composer."
1975,Best Cast Show Album,The Wiz,"Charlie Smalls, composer. Jerry Wexler, producer."
1975,"Album Of The Year, Classical",Beethoven: Symphonies (9) Complete,"Georg Solti, artist. Raymond Minshull, producer."
1975,Best Classical Performance - Orchestra,Ravel: Daphnis Et Chloe (Complete Ballet),"Pierre Boulez, artist."
1975,Best Opera Recording,Mozart: Cosi Fan Tutte,"Colin Davis, artist. Erik Smith, producer."
1975,"Best Choral Performance, Classical (Other Than Opera)",Orff: Carmina Burana,"Michael Tilson Thomas, artist. Robert Page, choir director."
1975,Best Chamber Music Performance,"Schubert: Trios Nos. 1 In B Flat, Op. 99 And 2 In E Flat, Op. 100 (Piano Trios)","Artur Rubinstein, Henryk Szeryng & Pierre Fournier, artists."
1975,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),Ravel: Concerto For Left Hand And Concerto For Piano In G/Faure: Fantaisie For Piano And Orchestra,"Alicia De Larrocha, artist."
1975,Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra),Bach: Sonatas And Partitas For Violin Unaccompanied,"Nathan Milstein, artist."
1975,Best Classical Vocal Soloist Performance,Mahler: Kindertotenlieder,"Janet Baker, artist."
1975,"Best Album Notes, Classical",Blood On The Tracks,"Pete Hamill, album notes writer."
1975,"Best Album Notes, Classical",Footlifters,"Gunther Schuller, album notes writer."
1975,"Best Engineered Recording, Classical",Ravel: Daphnis Et Chloe (Complete Ballet),"Edward (Bud) T. Graham, Milton Cherin & Ray Moore, engineers."
1974,Record Of The Year,I Honestly Love You,"Olivia Newton-John, artist. John Farrar, producer."
1974,Album Of The Year,Fulfillingness' First Finale,"Stevie Wonder*, artist. Stevie Wonder*, producer."
1974,Song Of The Year,The Way We Were,"Alan Bergman, Marilyn Bergman & Marvin Hamlisch, songwriters."
1974,Best New Artist Of The Year,,"Marvin Hamlisch, artist."
