Year,Category,Title,Winners
2012,Best Score Soundtrack For Visual Media,The Girl With The Dragon Tattoo,"Trent Reznor & Atticus Ross, composers. Blumpy & Alan Moulder, engineers/mixers. Trent Reznor & Atticus Ross, producers."
2012,Best Song Written For Visual Media,Safe & Sound (From The Hunger Games),"T Bone Burnett, Taylor Swift,John Paul White & Joy Williams, songwriters."
2012,Best Instrumental Composition,Mozart Goes Dancing,"Chick Corea, composer."
2012,Best Instrumental Arrangement,How About You,"Gil Evans, arranger."
2012,Best Instrumental Arrangement Accompanying Vocalist(s),City Of Roses,"Thara Memory & Esperanza Spalding, arrangers."
2012,Best Recording Package,Biophilia,"Michael Amzalag & Mathias Augustyniak, art directors."
2012,Best Boxed Or Special Limited Edition Package,Woody At 100: The Woody Guthrie Centennial Collection,"Fritz Klaetke, art director."
2012,Best Album Notes,Singular Genius: The Complete ABC Singles,"Billy Vera, album notes writer."
2012,Best Historical Album,The Smile Sessions (Deluxe Box Set),"Alan Boyd, Mark Linett, Brian Wilson & Dennis Wolfe, compilation producers. Mark Linett, mastering engineer."
2012,"Best Engineered Album, Non-Classical",The Goat Rodeo Sessions,"Richard King, engineer. Richard King, mastering engineer."
2012,"Producer Of The Year, Non-Classical",,"Dan Auerbach, producer."
2012,"Best Remixed Recording, Non-Classical",Promises (Skrillex & Nero Remix),"Joseph Ray, Skrillex & Daniel Stephens, remixers."
2012,Best Surround Sound Album,Modern Cool,"Jim Anderson, surround mix engineer. Darcy Proper, surround mastering engineer. Michael Friedman, surround producer."
2012,"Best Engineered Album, Classical",Life & Breath - Choral Works By René Clausen,"Tom Caulfield & John Newton, engineers. Mark Donahue, mastering engineer."
2012,"Producer Of The Year, Classical",,"Blanton Alspaugh, producer."
2012,Best Orchestral Performance,Adams: Harmonielehre & Short Ride In A Fast Machine,"Michael Tilson Thomas, conductor. Roni Jules, Gus Polleck, Uwe Willenbacher & Denise Woodward, engineers/mixers. Jack Vad, producer."
2012,Best Opera Recording,Wagner: Der Ring Des Nibelungen,"James Levine & Fabio Luisi, conductors. Jay David Saks, producer. Hans-Peter König, Jay Hunter Morris, Bryn Terfel & Deborah Voigt, soloists. Jay David Saks, engineer/mixer."
2012,Best Choral Performance,Life & Breath - Choral Works By René Clausen,"Charles Bruffy, conductor. Tom Caulfield & John Newton, engineers/mixers. Blanton Alspaugh, producer."
2012,Best Chamber Music/Small Ensemble Performance,Meanwhile,"Eighth Blackbird (Matt Albert, Matthew Duvall, Lisa Kaplan, Michael J. Maccaferri, Tim Munro, Nicholas Photinos), ensemble. Bill Maylone, engineer/mixer. Judith Sherman, producer."
2012,Best Classical Instrumental Solo,Kurtág & Ligeti: Music For Viola,"Kim Kashkashian, soloist. Peter Laenger, engineer/mixer. Manfred Eicher, producer."
2012,Best Classical Vocal Solo,Poèmes,"Renée Fleming, soloist. Christian Lahondes, engineer/mixer. Arnaud Moral, producer."
2012,Best Classical Compendium,Penderecki: Fonogrammi; Horn Concerto; Partita; The Awakening Of Jacob; Anaklasis,"Antoni Wit, conductor. Aleksandra Nagórko & Andrzej Sasin, producers. Aleksandra Nagórko & Andrzej Sasin, engineers/mixers."
